업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,라쏘(LAZO),"충청북도 청주시 상당구 미원면 단재로 2458, 1동 1층",충청북도 청주시 상당구 미원면 미원리 310-1 외2필지 1층 1동 ,,경양식
일반음식점,미원양꼬치마라탕,"충청북도 청주시 상당구 미원면 미원시내4길 7-1, 1층",충청북도 청주시 상당구 미원면 미원리 310-3 1층 ,043 -297 -1688,한식
일반음식점,소나무집,"충청북도 청주시 상당구 미원면 미원시내4길 8, 1층",충청북도 청주시 상당구 미원면 미원리 310-6 ,043 -292 -3336,한식
일반음식점,다연,"충청북도 청주시 상당구 미원면 수목원길 54, 숲사랑식당",충청북도 청주시 상당구 미원면 미원리 32-4 숲사랑식당 ,,한식
일반음식점,캠토(미원점),"충청북도 청주시 상당구 미원면 단재로 2444, 1층",충청북도 청주시 상당구 미원면 미원리 424-4 1층 ,,기타
일반음식점,오렌지호프,충청북도 청주시 상당구 미원면 미원시내2길 34,충청북도 청주시 상당구 미원면 미원리 428-12 , 043- 298-2098,호프/통닭
일반음식점,상촌매운탕,충청북도 청주시 상당구 미원면 단재로 2417,충청북도 청주시 상당구 미원면 미원리 432-2 , 043- 292-0991,한식
일반음식점,봉화김밥,충청북도 청주시 상당구 미원면 미원시내2길 14-16,충청북도 청주시 상당구 미원면 미원리 433-7 , 043- 291-7811,일식
일반음식점,은하식당,충청북도 청주시 상당구 미원면 단재로 2415,충청북도 청주시 상당구 미원면 미원리 434-1 , 043- 254-6478,한식
일반음식점,아이벗치킨,충청북도 청주시 상당구 미원면 단재로 2415,충청북도 청주시 상당구 미원면 미원리 434-1 , 043- 297-1449,호프/통닭
일반음식점,김밥이랑라면이랑,,충청북도 청주시 상당구 미원면 미원리 438-15 1층 ,,분식
일반음식점,아담야식,충청북도 청주시 상당구 미원면 미원시내2길 8,충청북도 청주시 상당구 미원면 미원리 438-18 , 043- 292-9997,한식
일반음식점,할매올갱이,"충청북도 청주시 상당구 미원면 단재로 2411 (,22)","충청북도 청주시 상당구 미원면 미원리 438-20 ,22 ", 043- 297-7118,한식
일반음식점,미원식당,"충청북도 청주시 상당구 미원면 미원시내2길 7, 1층",충청북도 청주시 상당구 미원면 미원리 439-2 ,043 -288 -0669,한식
일반음식점,커피&별난만두,"충청북도 청주시 상당구 미원면 미원시내2길 7, 1층",충청북도 청주시 상당구 미원면 미원리 439-2 1층 ,043 -2877-677,기타
일반음식점,장군생막창,"충청북도 청주시 상당구 미원면 미원시내2길 7, 1층",충청북도 청주시 상당구 미원면 미원리 439-2 1층 ,043 -293 -2221,식육(숯불구이)
일반음식점,아우라치킨,"충청북도 청주시 상당구 미원면 미원시내2길 7, 1층",충청북도 청주시 상당구 미원면 미원리 439-2 1층 ,043 -297 -1550,호프/통닭
일반음식점,삼거리순대국,"충청북도 청주시 상당구 미원면 단재로 2395, 1층",충청북도 청주시 상당구 미원면 미원리 440-2 1층 ,,횟집
일반음식점,뜨란채 순두부(본점),"충청북도 청주시 상당구 미원면 단재로 2395, 미원 버스터미널 1층",충청북도 청주시 상당구 미원면 미원리 440-2 미원 버스터미널 ,,한식
일반음식점,은하숯불생고기전문점,충청북도 청주시 상당구 미원면 미원시내2길 9-6,충청북도 청주시 상당구 미원면 미원리 484 , 043- 298-0383,한식
일반음식점,시골밥상,"충청북도 청주시 상당구 미원면 미원시내2길 11-6, 1층",충청북도 청주시 상당구 미원면 미원리 490-3 1층 ,043 -296 -2496,한식
일반음식점,아담식당,"충청북도 청주시 상당구 미원면 미원시내2길 22, 1층",충청북도 청주시 상당구 미원면 미원리 493-6 1층 ,,한식
일반음식점,옛날식당,충청북도 청주시 상당구 미원면 미원시내2길 28,충청북도 청주시 상당구 미원면 미원리 499-1 , 043- 254-0180,한식
일반음식점,이례야식,충청북도 청주시 상당구 미원면 미원시내2길 24,충청북도 청주시 상당구 미원면 미원리 502-1 ,,한식
일반음식점,공주식당,"충청북도 청주시 상당구 미원면 미원시내2길 20, 1층",충청북도 청주시 상당구 미원면 미원리 503-10 1층 ,043 -287 -8683,한식
일반음식점,충북식당,"충청북도 청주시 상당구 미원면 미원시내2길 17-3, 1층",충청북도 청주시 상당구 미원면 미원리 504-2 1층 ,043 -298 -1833,한식
일반음식점,강물처럼,충청북도 청주시 상당구 미원면 미원시내2길 19-3,충청북도 청주시 상당구 미원면 미원리 519-1 , 043- 225-9167,한식
일반음식점,페리카나치킨,충청북도 청주시 상당구 미원면 미원시내2길 19-3,충청북도 청주시 상당구 미원면 미원리 519-1 , 043- 297-0372,한식
일반음식점,청운식당,충청북도 청주시 상당구 미원면 미원시내2길 19-2,충청북도 청주시 상당구 미원면 미원리 520-3 ,043 -217 -5981,기타
일반음식점,인정식당,충청북도 청주시 상당구 미원면 미원시내2길 19-2,충청북도 청주시 상당구 미원면 미원리 520-3 ,,한식
일반음식점,엄가네왕족발보쌈,충청북도 청주시 상당구 미원면 미원시내2길 27-1,충청북도 청주시 상당구 미원면 미원리 523 ,043 -275 -5266,한식
일반음식점,싱싱분식,"충청북도 청주시 상당구 미원면 미원시내2길 27-1, 1층 (주2)","충청북도 청주시 상당구 미원면 미원리 523 주2,1층 ",,분식
일반음식점,대성식당,충청북도 청주시 상당구 미원면 미원시내2길 31,충청북도 청주시 상당구 미원면 미원리 527 ,,한식
일반음식점,꼬마김밥,"충청북도 청주시 상당구 미원면 미원시내2길 33-1, 2층",충청북도 청주시 상당구 미원면 미원리 529-2 2층 ,,분식
일반음식점,비에이치씨(BHC)치킨 청주미원점,충청북도 청주시 상당구 미원면 미원시내2길 33,충청북도 청주시 상당구 미원면 미원리 529-3 ,,한식
일반음식점,희락,"충청북도 청주시 상당구 미원면 미원시내2길 35-9, 1층",충청북도 청주시 상당구 미원면 미원리 530-4 1층 ,043 -283 -3528,한식
일반음식점,현식당,충청북도 청주시 상당구 미원면 미원시내2길 35-5,충청북도 청주시 상당구 미원면 미원리 530-7 , 043- 297-1435,한식
일반음식점,대박이네,충청북도 청주시 상당구 미원면 미원시내2길 37-1,충청북도 청주시 상당구 미원면 미원리 535-2 ,043 -2980-950,한식
일반음식점,캔버스(CANVAS),"충청북도 청주시 상당구 미원면 미원초정로 21-45, 1층",충청북도 청주시 상당구 미원면 미원리 546-1 1층 ,,식육(숯불구이)
일반음식점,초원식당,"충청북도 청주시 상당구 미원면 미원초정로 7, 1층",충청북도 청주시 상당구 미원면 미원리 557-2 1층 , 043- 254-0276,한식
일반음식점,대산카페,"충청북도 청주시 상당구 미원면 미원초정로 2, 1층",충청북도 청주시 상당구 미원면 미원리 559-11 1층 ,,호프/통닭
일반음식점,한마음치킨호프,충청북도 청주시 상당구 미원면 미원초정로 6,충청북도 청주시 상당구 미원면 미원리 559-9 , 043- 257-5730,호프/통닭
일반음식점,바다양푼이동태탕,충청북도 청주시 상당구 미원면 단재로 2489-1,충청북도 청주시 상당구 미원면 미원리 560-11 , 043- 293-6577,한식
일반음식점,미원칼국수,"충청북도 청주시 상당구 미원면 단재로 2496, 1층",충청북도 청주시 상당구 미원면 미원리 560-5 1층 ,043 -297 -1538,호프/통닭
일반음식점,천농장식당미원점,"충청북도 청주시 상당구 미원면 단재로 2496, 1층",충청북도 청주시 상당구 미원면 미원리 560-5 1층 ,,식육(숯불구이)
